datetime,respondent_code,value
2024-09-11 22:00:00,NE,13403
2024-09-11 23:00:00,NE,-901
2024-09-11 23:00:00,NE,13820
2024-09-11 23:00:00,NE,14710
2024-09-11 23:00:00,NE,14721
2024-09-12 00:00:00,NE,-1639
2024-09-12 00:00:00,NE,13162
2024-09-12 00:00:00,NE,14800
2024-09-12 00:00:00,NE,14801
2024-09-12 01:00:00,NE,14236
2024-09-12 01:00:00,NE,-1264
2024-09-12 01:00:00,NE,12972
2024-09-12 01:00:00,NE,14280
2024-09-12 02:00:00,NE,-634
2024-09-12 02:00:00,NE,12642
2024-09-12 02:00:00,NE,13340
2024-09-12 02:00:00,NE,13276
2024-09-12 03:00:00,NE,12218
2024-09-12 03:00:00,NE,-783
2024-09-12 03:00:00,NE,11435
2024-09-12 03:00:00,NE,12210
2024-09-12 04:00:00,NE,-926
2024-09-12 04:00:00,NE,10359
2024-09-12 04:00:00,NE,11180
2024-09-12 04:00:00,NE,11285
2024-09-12 05:00:00,NE,-727
2024-09-12 05:00:00,NE,9866
2024-09-12 05:00:00,NE,10330
2024-09-12 05:00:00,NE,10593
2024-09-12 06:00:00,NE,-421
2024-09-12 06:00:00,NE,10002
2024-09-12 06:00:00,NE,9870
2024-09-12 06:00:00,NE,10423
2024-09-12 07:00:00,NE,10497
2024-09-12 07:00:00,NE,9600
2024-09-12 07:00:00,NE,-670
2024-09-12 07:00:00,NE,9827
2024-09-12 08:00:00,NE,-640
2024-09-12 08:00:00,NE,9743
2024-09-12 08:00:00,NE,9460
2024-09-12 08:00:00,NE,10383
2024-09-12 09:00:00,NE,-1198
2024-09-12 09:00:00,NE,9348
2024-09-12 09:00:00,NE,9630
2024-09-12 09:00:00,NE,10546
2024-09-12 10:00:00,NE,10666
2024-09-12 10:00:00,NE,-655
2024-09-12 10:00:00,NE,10011
2024-09-12 10:00:00,NE,10340
2024-09-12 11:00:00,NE,-458
2024-09-12 11:00:00,NE,11200
2024-09-12 11:00:00,NE,11670
2024-09-12 11:00:00,NE,11658
2024-09-12 12:00:00,NE,11857
2024-09-12 12:00:00,NE,-825
2024-09-12 12:00:00,NE,11032
2024-09-12 12:00:00,NE,12090
